CMDLINE /Users/khuyentran/book/venv/bin/python3 memory_profiler_test.py
MEM 0.265625 1677683218.3018
MEM 28.390625 1677683218.4070
MEM 87.437500 1677683218.5116
MEM 49.312500 1677683218.6166
